1,АГК с.Поворот - р.Чикой,7076,900249,кабинет,,
2,АГК с. Новоселенгинск - р. Селенга,7047,900272,кабинет,,+
3,АГК с. Усть-Кяхта - р. Селенга,7043,900270,кабинет,,+
4,АГК с.Чикой - р. Чикой,7074,900378,кабинет,,+
5,АГК г.Улан-Удэ - р.Уда,7130,900422,неисправен, повреждения на плате,+
6,АГК ст. Джида р. Джида,7060,900259,кабинет,,+
7,АГК с. Кабанск - р. Селенга,7053,900280,на посту,,+
8,АГК с.Хамней р.Джида,7056,900334,на посту оторвало датчик,,
9,АГК Первомаевка,7128,900484,кабинет,,+
,,,залит чёрной краской,нет связи с dongle 433 MHz,,+
,,,900244,,,+
,,,21208,нет связи с dongle 433 MHz,,+
,,,21459,нет связи с dongle 433 MHz,,+
